CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status
Erin Andrews,10,10,Percent,26.9998,32.7%,0.0%-51.1%,30.106279373168945,2.0,0.016252273693680763,0.0,0.0,0.0011036396026611328,0.006371648982167244,0.22651289403438568,Eliminated (Place 3)
David Hasselhoff,11,1,Percent,15.0,6.6%,0.0%-10.1%,6.675076484680176,9.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Eliminated (Place 12)
Florence Henderson,11,1,Percent,18.0,7.9%,0.0%-100.0%,7.932864665985107,6.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Kyle Massey,11,1,Percent,23.0,10.1%,0.0%-100.0%,10.109246253967285,3.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Jennifer Grey,11,1,Percent,24.0,10.6%,0.0%-100.0%,10.583495140075684,1.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Rick Fox,11,1,Percent,22.0,9.7%,0.0%-100.0%,9.66864013671875,4.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Kurt Warner,11,1,Percent,19.0,8.4%,0.0%-100.0%,8.370016098022461,5.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Margaret Cho,11,1,Percent,15.0,6.6%,0.0%-100.0%,6.631545066833496,10.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Michael Bolton,11,1,Percent,16.0,7.0%,0.0%-100.0%,7.0486159324646,8.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Brandy,11,1,Percent,23.0,10.1%,0.0%-100.0%,10.121249198913574,2.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
The Situation,11,1,Percent,15.0,6.6%,0.0%-100.0%,6.568038463592529,11.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Audrina Patridge,11,1,Percent,19.0,8.4%,0.0%-100.0%,8.370016098022461,5.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Bristol Palin,11,1,Percent,18.0,7.9%,0.0%-100.0%,7.921198844909668,7.0,0.03697868051931437,1.2138241345382994e-07,0.0,0.00014728307723999023,0.011189797893166542,0.6021561622619629,Safe
Florence Henderson,11,2,Percent,19.0,8.6%,0.0%-100.0%,8.613128662109375,6.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
Kyle Massey,11,2,Percent,22.0,10.0%,0.0%-100.0%,9.909377098083496,4.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
Jennifer Grey,11,2,Percent,24.0,10.9%,0.0%-100.0%,10.779723167419434,1.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
Rick Fox,11,2,Percent,21.0,9.5%,0.0%-100.0%,9.469395637512207,5.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
Kurt Warner,11,2,Percent,21.0,9.5%,0.0%-100.0%,9.469395637512207,5.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
Margaret Cho,11,2,Percent,18.0,8.1%,0.0%-100.0%,8.184866905212402,7.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
Michael Bolton,11,2,Percent,12.0,5.4%,0.0%-12.8%,5.660246849060059,9.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Eliminated (Place 11)
Brandy,11,2,Percent,21.0,9.5%,0.0%-100.0%,9.469395637512207,5.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
The Situation,11,2,Percent,18.0,8.1%,0.0%-100.0%,8.173341751098633,8.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
Audrina Patridge,11,2,Percent,23.0,10.4%,0.0%-100.0%,10.350021362304688,2.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
Bristol Palin,11,2,Percent,22.0,10.0%,0.0%-100.0%,9.921099662780762,3.0,0.03810012880712747,0.0,0.0,6.771087646484375e-05,0.009336470626294613,0.6486107110977173,Safe
Florence Henderson,11,3,Percent,20.0,9.0%,0.0%-100.0%,8.567292213439941,6.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Safe
Kyle Massey,11,3,Percent,23.0,10.4%,0.0%-100.0%,10.622247695922852,4.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Safe
Jennifer Grey,11,3,Percent,24.0,10.9%,0.0%-100.0%,11.292386054992676,3.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Safe
Rick Fox,11,3,Percent,24.0,10.9%,0.0%-100.0%,11.292386054992676,3.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Safe
Kurt Warner,11,3,Percent,23.0,10.4%,0.0%-100.0%,10.601018905639648,5.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Safe
Margaret Cho,11,3,Percent,18.0,8.1%,0.0%-11.9%,7.180081844329834,9.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Eliminated (Place 10)
Brandy,11,3,Percent,24.0,10.9%,0.0%-100.0%,11.348054885864258,2.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Safe
The Situation,11,3,Percent,20.0,9.0%,0.0%-100.0%,8.545881271362305,7.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Safe
Audrina Patridge,11,3,Percent,26.0,11.8%,0.0%-100.0%,12.69178581237793,1.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Safe
Bristol Palin,11,3,Percent,19.0,8.6%,0.0%-100.0%,7.8588666915893555,8.0,0.034390452690422534,0.0,0.0,4.6372413635253906e-05,0.011575455777347088,0.5479761362075806,Safe
Florence Henderson,11,4,Percent,17.5,9.8%,0.0%-100.0%,9.937848091125488,6.0,0.03145965784788132,0.0,0.0,2.086162567138672e-05,0.012410469353199005,0.47985029220581055,Safe
Kyle Massey,11,4,Percent,20.0,11.2%,0.0%-100.0%,11.190557479858398,4.0,0.03145965784788132,0.0,0.0,2.086162567138672e-05,0.012410469353199005,0.47985029220581055,Safe
Jennifer Grey,11,4,Percent,28.0,15.6%,0.0%-100.0%,15.127023696899414,1.0,0.03145965784788132,0.0,0.0,2.086162567138672e-05,0.012410469353199005,0.47985029220581055,Safe
Rick Fox,11,4,Percent,19.5,10.9%,0.0%-100.0%,10.919279098510742,5.0,0.03145965784788132,0.0,0.0,2.086162567138672e-05,0.012410469353199005,0.47985029220581055,Safe
Kurt Warner,11,4,Percent,17.0,9.5%,0.0%-100.0%,9.667308807373047,7.0,0.03145965784788132,0.0,0.0,2.086162567138672e-05,0.012410469353199005,0.47985029220581055,Safe
Brandy,11,4,Percent,24.0,13.4%,0.0%-100.0%,13.166165351867676,2.0,0.03145965784788132,0.0,0.0,2.086162567138672e-05,0.012410469353199005,0.47985029220581055,Safe
The Situation,11,4,Percent,14.0,7.8%,0.0%-14.4%,8.178050994873047,9.0,0.03145965784788132,0.0,0.0,2.086162567138672e-05,0.012410469353199005,0.47985029220581055,Eliminated (Place 9)
Audrina Patridge,11,4,Percent,23.0,12.8%,0.0%-100.0%,12.653648376464844,3.0,0.03145965784788132,0.0,0.0,2.086162567138672e-05,0.012410469353199005,0.47985029220581055,Safe
Bristol Palin,11,4,Percent,16.0,8.9%,0.0%-100.0%,9.160118103027344,8.0,0.03145965784788132,0.0,0.0,2.086162567138672e-05,0.012410469353199005,0.47985029220581055,Safe
Florence Henderson,11,5,Percent,21.0,11.5%,0.0%-13.5%,11.517542839050293,5.0,0.043877130420878534,0.00013406133803073317,0.0,0.0007622241973876953,0.004132460802793503,0.5982104539871216,Eliminated (Place 8)
Kyle Massey,11,5,Percent,20.0,11.0%,0.5%-98.4%,11.154831886291504,6.0,0.043877130420878534,0.00013406133803073317,0.0,0.0007622241973876953,0.004132460802793503,0.5982104539871216,Safe
Jennifer Grey,11,5,Percent,25.0,13.7%,0.0%-97.8%,13.605204582214355,2.0,0.043877130420878534,0.00013406133803073317,0.0,0.0007622241973876953,0.004132460802793503,0.5982104539871216,Safe
Rick Fox,11,5,Percent,24.0,13.2%,0.0%-97.8%,13.136126518249512,3.0,0.043877130420878534,0.00013406133803073317,0.0,0.0007622241973876953,0.004132460802793503,0.5982104539871216,Safe
Kurt Warner,11,5,Percent,24.0,13.2%,0.0%-97.8%,13.136126518249512,3.0,0.043877130420878534,0.00013406133803073317,0.0,0.0007622241973876953,0.004132460802793503,0.5982104539871216,Safe
Brandy,11,5,Percent,27.0,14.8%,0.0%-97.8%,14.59675121307373,1.0,0.043877130420878534,0.00013406133803073317,0.0,0.0007622241973876953,0.004132460802793503,0.5982104539871216,Safe
Audrina Patridge,11,5,Percent,23.0,12.6%,0.0%-97.8%,12.611958503723145,4.0,0.043877130420878534,0.00013406133803073317,0.0,0.0007622241973876953,0.004132460802793503,0.5982104539871216,Safe
Bristol Palin,11,5,Percent,18.0,9.9%,1.6%-99.5%,10.24146842956543,7.0,0.043877130420878534,0.00013406133803073317,0.0,0.0007622241973876953,0.004132460802793503,0.5982104539871216,Safe
Kyle Massey,11,6,Percent,29.999899999999997,14.5%,1.0%-90.8%,14.864076614379883,3.0,0.23589271269738676,0.001742265303619206,0.0,0.06452983617782593,0.01931886002421379,0.40780672430992126,Safe
Jennifer Grey,11,6,Percent,29.0,14.0%,1.4%-91.3%,14.041071891784668,4.0,0.23589271269738676,0.001742265303619206,0.0,0.06452983617782593,0.01931886002421379,0.40780672430992126,Safe
Rick Fox,11,6,Percent,30.0,14.5%,1.0%-90.8%,15.35439682006836,2.0,0.23589271269738676,0.001742265303619206,0.0,0.06452983617782593,0.01931886002421379,0.40780672430992126,Safe
Kurt Warner,11,6,Percent,21.9999,10.6%,4.8%-94.7%,8.281801223754883,7.0,0.23589271269738676,0.001742265303619206,0.0,0.06452983617782593,0.01931886002421379,0.40780672430992126,Safe
Brandy,11,6,Percent,35.9999,17.4%,0.0%-89.9%,20.552688598632812,1.0,0.23589271269738676,0.001742265303619206,0.0,0.06452983617782593,0.01931886002421379,0.40780672430992126,Safe
Audrina Patridge,11,6,Percent,31.9998,15.5%,0.0%-13.1%,13.453628540039062,5.0,0.23589271269738676,0.001742265303619206,0.0,0.06452983617782593,0.01931886002421379,0.40780672430992126,Eliminated (Place 7)
Bristol Palin,11,6,Percent,27.9998,13.5%,1.9%-91.8%,13.452336311340332,6.0,0.23589271269738676,0.001742265303619206,0.0,0.06452983617782593,0.01931886002421379,0.40780672430992126,Safe
Kyle Massey,11,7,Percent,33.5,16.1%,0.5%-99.0%,15.81562328338623,5.0,0.04403041359037161,0.0001247678155777976,0.0,0.0005556941032409668,0.0012116215657442808,0.6553264260292053,Safe
Jennifer Grey,11,7,Percent,36.5,17.5%,0.0%-98.6%,17.883495330810547,2.0,0.04403041359037161,0.0001247678155777976,0.0,0.0005556941032409668,0.0012116215657442808,0.6553264260292053,Safe
Rick Fox,11,7,Percent,34.5,16.5%,0.0%-16.8%,16.423450469970703,4.0,0.04403041359037161,0.0001247678155777976,0.0,0.0005556941032409668,0.0012116215657442808,0.6553264260292053,Eliminated (Place 6)
Kurt Warner,11,7,Percent,35.0,16.8%,0.0%-98.6%,16.83277702331543,3.0,0.04403041359037161,0.0001247678155777976,0.0,0.0005556941032409668,0.0012116215657442808,0.6553264260292053,Safe
Brandy,11,7,Percent,36.5,17.5%,0.0%-98.6%,17.91048240661621,1.0,0.04403041359037161,0.0001247678155777976,0.0,0.0005556941032409668,0.0012116215657442808,0.6553264260292053,Safe
Bristol Palin,11,7,Percent,32.5,15.6%,1.0%-99.5%,15.134161949157715,6.0,0.04403041359037161,0.0001247678155777976,0.0,0.0005556941032409668,0.0012116215657442808,0.6553264260292053,Safe
Kyle Massey,11,8,Percent,28.0,21.1%,0.0%-99.6%,21.92534065246582,3.0,0.026866778236581013,1.8372147678746842e-05,0.0,0.000518500804901123,0.007483582943677902,0.407767117023468,Safe
Jennifer Grey,11,8,Percent,28.5,21.5%,0.0%-99.6%,22.843280792236328,1.0,0.026866778236581013,1.8372147678746842e-05,0.0,0.000518500804901123,0.007483582943677902,0.407767117023468,Safe
Kurt Warner,11,8,Percent,24.0,18.1%,0.0%-21.9%,16.506423950195312,4.0,0.026866778236581013,1.8372147678746842e-05,0.0,0.000518500804901123,0.007483582943677902,0.407767117023468,Eliminated (Place 5)
Brandy,11,8,Percent,28.5,21.5%,0.0%-99.6%,22.69842529296875,2.0,0.026866778236581013,1.8372147678746842e-05,0.0,0.000518500804901123,0.007483582943677902,0.407767117023468,Safe
Bristol Palin,11,8,Percent,23.5,17.7%,0.4%-100.0%,16.026527404785156,5.0,0.026866778236581013,1.8372147678746842e-05,0.0,0.000518500804901123,0.007483582943677902,0.407767117023468,Safe
Kyle Massey,11,9,Percent,29.0,25.4%,0.0%-98.2%,26.769330978393555,2.0,0.12364833150058985,0.0008240978349931538,0.0,0.043949007987976074,0.007108751684427261,0.19012491405010223,Safe
Jennifer Grey,11,9,Percent,30.0,26.3%,0.0%-98.2%,30.397621154785156,1.0,0.12364833150058985,0.0008240978349931538,0.0,0.043949007987976074,0.007108751684427261,0.19012491405010223,Safe
Brandy,11,9,Percent,28.5,25.0%,0.0%-25.0%,23.025434494018555,3.0,0.12364833150058985,0.0008240978349931538,0.0,0.043949007987976074,0.007108751684427261,0.19012491405010223,Eliminated (Place 4)
Bristol Palin,11,9,Percent,26.5,23.2%,1.8%-100.0%,19.80760383605957,4.0,0.12364833150058985,0.0008240978349931538,0.0,0.043949007987976074,0.007108751684427261,0.19012491405010223,Safe
Kyle Massey,11,10,Percent,27.333199999999998,32.9%,0.0%-51.6%,32.32607650756836,2.0,0.008199994638562202,0.0,0.0,2.491474151611328e-05,0.007096298038959503,0.07834602147340775,Eliminated (Place 2)
Jennifer Grey,11,10,Percent,30.0,36.1%,30.5%-100.0%,40.75531005859375,1.0,0.008199994638562202,0.0,0.0,2.491474151611328e-05,0.007096298038959503,0.07834602147340775,Safe
Bristol Palin,11,10,Percent,25.6666,30.9%,0.0%-52.6%,26.918611526489258,3.0,0.008199994638562202,0.0,0.0,2.491474151611328e-05,0.007096298038959503,0.07834602147340775,Eliminated (Place 3)
Ralph Macchio,12,1,Percent,24.0,11.6%,0.0%-100.0%,11.54475212097168,1.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Chelsea Kane,12,1,Percent,21.0,10.1%,0.0%-100.0%,10.147655487060547,3.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Kirstie Alley,12,1,Percent,23.0,11.1%,0.0%-100.0%,11.04865837097168,2.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Hines Ward,12,1,Percent,21.0,10.1%,0.0%-100.0%,10.112502098083496,4.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Sugar Ray Leonard,12,1,Percent,17.0,8.2%,0.0%-100.0%,8.213080406188965,9.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Chris Jericho,12,1,Percent,19.0,9.2%,0.0%-100.0%,9.190786361694336,5.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Petra Nemcova,12,1,Percent,18.0,8.7%,0.0%-100.0%,8.685474395751953,8.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Mike Catherwood,12,1,Percent,13.0,6.3%,0.0%-100.0%,6.354497909545898,11.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Romeo,12,1,Percent,19.0,9.2%,0.0%-100.0%,9.17541217803955,6.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Wendy Williams,12,1,Percent,14.0,6.8%,0.0%-100.0%,6.826589107513428,10.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Kendra Wilkinson,12,1,Percent,18.0,8.7%,0.0%-100.0%,8.700601577758789,7.0,0.03561132736504078,0.0,0.0,4.416704177856445e-05,0.011234505102038383,0.5765291452407837,Safe
Ralph Macchio,12,2,Percent,21.0,9.7%,0.0%-100.0%,9.987717628479004,4.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Chelsea Kane,12,2,Percent,18.0,8.3%,0.0%-100.0%,8.036946296691895,7.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Kirstie Alley,12,2,Percent,20.0,9.3%,0.0%-100.0%,9.3295316696167,5.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Hines Ward,12,2,Percent,23.0,10.6%,0.0%-100.0%,11.302668571472168,2.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Sugar Ray Leonard,12,2,Percent,17.0,7.9%,0.0%-100.0%,7.333460330963135,11.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Chris Jericho,12,2,Percent,23.0,10.6%,0.0%-100.0%,11.307175636291504,1.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Petra Nemcova,12,2,Percent,18.0,8.3%,0.0%-100.0%,8.021605491638184,8.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Mike Catherwood,12,2,Percent,17.0,7.9%,0.0%-10.3%,7.3452606201171875,10.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Eliminated (Place 11)
Romeo,12,2,Percent,23.0,10.6%,0.0%-100.0%,11.268303871154785,3.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Wendy Williams,12,2,Percent,17.0,7.9%,0.0%-100.0%,7.382441520690918,9.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Kendra Wilkinson,12,2,Percent,19.0,8.8%,0.0%-100.0%,8.684891700744629,6.0,0.035728876489122284,1.3924541519827471e-09,0.0,5.537271499633789e-05,0.011188940145075321,0.5792005658149719,Safe
Ralph Macchio,12,3,Percent,21.0,9.8%,0.0%-100.0%,9.747945785522461,5.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Safe
Chelsea Kane,12,3,Percent,23.0,10.7%,0.0%-100.0%,10.936126708984375,3.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Safe
Kirstie Alley,12,3,Percent,21.0,9.8%,0.0%-100.0%,9.772963523864746,4.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Safe
Hines Ward,12,3,Percent,25.0,11.7%,0.0%-100.0%,12.007976531982422,2.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Safe
Sugar Ray Leonard,12,3,Percent,20.0,9.3%,0.0%-100.0%,9.148051261901855,7.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Safe
Chris Jericho,12,3,Percent,21.0,9.8%,0.0%-100.0%,9.772963523864746,4.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Safe
Petra Nemcova,12,3,Percent,25.0,11.7%,0.0%-100.0%,12.199461936950684,1.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Safe
Romeo,12,3,Percent,20.0,9.3%,0.0%-100.0%,9.166536331176758,6.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Safe
Wendy Williams,12,3,Percent,15.0,7.0%,0.0%-13.0%,6.3118414878845215,8.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Eliminated (Place 10)
Kendra Wilkinson,12,3,Percent,23.0,10.7%,0.0%-100.0%,10.936126708984375,3.0,0.03615037463605404,0.0,0.0,0.0004254579544067383,0.010481545701622963,0.5887197852134705,Safe
Ralph Macchio,12,4,Percent,25.0,12.1%,0.0%-98.5%,12.167950630187988,2.0,0.043802824197337026,9.739665256347507e-05,0.0,0.00047773122787475586,0.0038436073809862137,0.6645439267158508,Safe
Chelsea Kane,12,4,Percent,26.0,12.6%,0.0%-98.5%,12.63925838470459,1.0,0.043802824197337026,9.739665256347507e-05,0.0,0.00047773122787475586,0.0038436073809862137,0.6645439267158508,Safe
Kirstie Alley,12,4,Percent,22.0,10.7%,0.0%-98.5%,10.64726448059082,5.0,0.043802824197337026,9.739665256347507e-05,0.0,0.00047773122787475586,0.0038436073809862137,0.6645439267158508,Safe
Hines Ward,12,4,Percent,25.0,12.1%,0.0%-98.5%,12.16041088104248,3.0,0.043802824197337026,9.739665256347507e-05,0.0,0.00047773122787475586,0.0038436073809862137,0.6645439267158508,Safe
Sugar Ray Leonard,12,4,Percent,21.0,10.2%,0.0%-12.0%,10.110560417175293,6.0,0.043802824197337026,9.739665256347507e-05,0.0,0.00047773122787475586,0.0038436073809862137,0.6645439267158508,Eliminated (Place 9)
Chris Jericho,12,4,Percent,23.0,11.2%,0.0%-98.5%,11.166352272033691,4.0,0.043802824197337026,9.739665256347507e-05,0.0,0.00047773122787475586,0.0038436073809862137,0.6645439267158508,Safe
Petra Nemcova,12,4,Percent,23.0,11.2%,0.0%-98.5%,11.166352272033691,4.0,0.043802824197337026,9.739665256347507e-05,0.0,0.00047773122787475586,0.0038436073809862137,0.6645439267158508,Safe
Romeo,12,4,Percent,23.0,11.2%,0.0%-98.5%,11.166352272033691,4.0,0.043802824197337026,9.739665256347507e-05,0.0,0.00047773122787475586,0.0038436073809862137,0.6645439267158508,Safe
Kendra Wilkinson,12,4,Percent,18.0,8.7%,1.5%-100.0%,8.775504112243652,7.0,0.043802824197337026,9.739665256347507e-05,0.0,0.00047773122787475586,0.0038436073809862137,0.6645439267158508,Safe
Ralph Macchio,12,5,Percent,22.0,11.3%,0.0%-100.0%,10.135085105895996,7.0,0.03169915564358235,0.0,0.0,0.00019919872283935547,0.010550720617175102,0.5033904910087585,Safe
Chelsea Kane,12,5,Percent,26.0,13.4%,0.0%-100.0%,14.38786792755127,2.0,0.03169915564358235,0.0,0.0,0.00019919872283935547,0.010550720617175102,0.5033904910087585,Safe
Kirstie Alley,12,5,Percent,23.0,11.9%,0.0%-100.0%,11.218430519104004,5.0,0.03169915564358235,0.0,0.0,0.00019919872283935547,0.010550720617175102,0.5033904910087585,Safe
Hines Ward,12,5,Percent,27.0,13.9%,0.0%-100.0%,15.41153621673584,1.0,0.03169915564358235,0.0,0.0,0.00019919872283935547,0.010550720617175102,0.5033904910087585,Safe
Chris Jericho,12,5,Percent,26.0,13.4%,0.0%-100.0%,14.254197120666504,4.0,0.03169915564358235,0.0,0.0,0.00019919872283935547,0.010550720617175102,0.5033904910087585,Safe
Petra Nemcova,12,5,Percent,22.0,11.3%,0.0%-13.7%,10.09337043762207,8.0,0.03169915564358235,0.0,0.0,0.00019919872283935547,0.010550720617175102,0.5033904910087585,Eliminated (Place 8)
Romeo,12,5,Percent,26.0,13.4%,0.0%-100.0%,14.322628021240234,3.0,0.03169915564358235,0.0,0.0,0.00019919872283935547,0.010550720617175102,0.5033904910087585,Safe
Kendra Wilkinson,12,5,Percent,22.0,11.3%,0.0%-100.0%,10.176889419555664,6.0,0.03169915564358235,0.0,0.0,0.00019919872283935547,0.010550720617175102,0.5033904910087585,Safe
Ralph Macchio,12,6,Percent,24.0,13.3%,0.0%-100.0%,12.101602554321289,6.0,0.027130869776010515,0.0,0.0,6.252527236938477e-05,0.011925313621759415,0.3982631266117096,Safe
Chelsea Kane,12,6,Percent,28.0,15.6%,0.0%-100.0%,17.15654945373535,2.0,0.027130869776010515,0.0,0.0,6.252527236938477e-05,0.011925313621759415,0.3982631266117096,Safe
Kirstie Alley,12,6,Percent,26.0,14.4%,0.0%-100.0%,14.627939224243164,4.0,0.027130869776010515,0.0,0.0,6.252527236938477e-05,0.011925313621759415,0.3982631266117096,Safe
Hines Ward,12,6,Percent,27.0,15.0%,0.0%-100.0%,15.890748977661133,3.0,0.027130869776010515,0.0,0.0,6.252527236938477e-05,0.011925313621759415,0.3982631266117096,Safe
Chris Jericho,12,6,Percent,22.0,12.2%,0.0%-16.3%,9.630209922790527,7.0,0.027130869776010515,0.0,0.0,6.252527236938477e-05,0.011925313621759415,0.3982631266117096,Eliminated (Place 7)
Romeo,12,6,Percent,28.0,15.6%,0.0%-100.0%,17.227195739746094,1.0,0.027130869776010515,0.0,0.0,6.252527236938477e-05,0.011925313621759415,0.3982631266117096,Safe
Kendra Wilkinson,12,6,Percent,25.0,13.9%,0.0%-100.0%,13.365750312805176,5.0,0.027130869776010515,0.0,0.0,6.252527236938477e-05,0.011925313621759415,0.3982631266117096,Safe
Ralph Macchio,12,7,Percent,33.0,17.5%,0.0%-99.5%,19.8414363861084,1.0,0.02972385489847511,3.8108199078124017e-05,0.0,0.0008020997047424316,0.007698751986026764,0.425076961517334,Safe
Chelsea Kane,12,7,Percent,32.0,17.0%,0.0%-99.5%,17.800920486450195,3.0,0.02972385489847511,3.8108199078124017e-05,0.0,0.0008020997047424316,0.007698751986026764,0.425076961517334,Safe
Kirstie Alley,12,7,Percent,30.0,15.9%,0.3%-99.7%,14.025731086730957,5.0,0.02972385489847511,3.8108199078124017e-05,0.0,0.0008020997047424316,0.007698751986026764,0.425076961517334,Safe
Hines Ward,12,7,Percent,33.0,17.5%,0.0%-99.5%,19.772462844848633,2.0,0.02972385489847511,3.8108199078124017e-05,0.0,0.0008020997047424316,0.007698751986026764,0.425076961517334,Safe
Romeo,12,7,Percent,30.0,15.9%,0.3%-99.7%,13.89203929901123,6.0,0.02972385489847511,3.8108199078124017e-05,0.0,0.0008020997047424316,0.007698751986026764,0.425076961517334,Safe
