CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Percent_Predict,Rank_predict
Emmitt Smith,3,2,Percent,24.0,10.4%,0.0%-97.8%,11.34,3.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Safe,11.34,3.0
Shanna Moakler,3,2,Percent,22.0,9.6%,0.0%-11.6%,8.24,6.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Eliminated (Place 10),8.24,6.0
Willa Ford,3,2,Percent,23.0,10.0%,0.0%-97.8%,10.03,5.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Safe,10.03,5.0
Sara Evans,3,2,Percent,21.0,9.1%,0.0%-97.8%,7.48,9.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Withdrew,7.48,9.0
Jerry Springer,3,2,Percent,19.0,8.3%,1.3%-99.1%,6.04,10.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Safe,6.04,10.0
Harry Hamlin,3,3,Percent,22.0,10.6%,0.0%-12.9%,8.89,5.0,0.119092544959858,0.0001924022944876,0.0,0.0084646940231323,0.0279753170907497,0.3922523856163025,Eliminated (Place 9),8.89,5.0
Vivica A. Fox,3,3,Percent,27.0,13.0%,0.0%-98.1%,16.01,1.0,0.119092544959858,0.0001924022944876,0.0,0.0084646940231323,0.0279753170907497,0.3922523856163025,Safe,16.01,1.0
Monique Coleman,3,3,Percent,27.0,13.0%,0.0%-98.1%,16.01,1.0,0.119092544959858,0.0001924022944876,0.0,0.0084646940231323,0.0279753170907497,0.3922523856163025,Safe,16.01,1.0
Joey Lawrence,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.2,3.0,0.119092544959858,0.0001924022944876,0.0,0.0084646940231323,0.0279753170907497,0.3922523856163025,Safe,10.2,3.0
Mario Lopez,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.2,3.0,0.119092544959858,0.0001924022944876,0.0,0.0084646940231323,0.0279753170907497,0.3922523856163025,Safe,10.2,3.0
Emmitt Smith,3,3,Percent,19.0,9.2%,1.4%-99.5%,6.77,7.0,0.119092544959858,0.0001924022944876,0.0,0.0084646940231323,0.0279753170907497,0.3922523856163025,Safe,6.77,7.0
Willa Ford,3,3,Percent,22.0,10.6%,0.0%-98.1%,9.83,4.0,0.119092544959858,0.0001924022944876,0.0,0.0084646940231323,0.0279753170907497,0.3922523856163025,Safe,9.83,4.0
Sara Evans,3,3,Percent,25.0,12.1%,0.0%-98.1%,13.55,2.0,0.119092544959858,0.0001924022944876,0.0,0.0084646940231323,0.0279753170907497,0.3922523856163025,Withdrew,13.55,2.0
Jerry Springer,3,3,Percent,21.0,10.1%,0.5%-98.6%,8.53,6.0,0.119092544959858,0.0001924022944876,0.0,0.0084646940231323,0.0279753170907497,0.3922523856163025,Safe,8.53,6.0
Vivica A. Fox,3,4,Percent,24.0,12.1%,0.0%-15.0%,10.54,6.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.0054736137390136,0.0352552607655525,0.2907504737377167,Eliminated (Place 8),10.54,6.0
Monique Coleman,3,4,Percent,24.0,12.1%,0.0%-99.0%,11.89,4.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.0054736137390136,0.0352552607655525,0.2907504737377167,Safe,11.89,4.0
Joey Lawrence,3,4,Percent,27.0,13.6%,0.0%-99.0%,15.4,3.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.0054736137390136,0.0352552607655525,0.2907504737377167,Safe,15.4,3.0
Mario Lopez,3,4,Percent,29.0,14.6%,0.0%-99.0%,18.42,1.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.0054736137390136,0.0352552607655525,0.2907504737377167,Safe,18.42,1.0
Emmitt Smith,3,4,Percent,24.0,12.1%,0.0%-99.0%,11.48,5.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.0054736137390136,0.0352552607655525,0.2907504737377167,Safe,11.48,5.0
Willa Ford,3,4,Percent,28.0,14.1%,0.0%-99.0%,16.88,2.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.0054736137390136,0.0352552607655525,0.2907504737377167,Safe,16.88,2.0
Sara Evans,3,4,Percent,20.0,10.1%,0.0%-99.0%,6.15,8.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.0054736137390136,0.0352552607655525,0.2907504737377167,Withdrew,6.15,8.0
